Path,Station,Date,TMSTAMP,RECNBR,StnID,BatMin,ProgSig,AvgAir_T,MaxAir_T,HmMaxAir_T,MinAir_T,HmMinAir_T,AvgRH,MaxRH,HmMaxRH,MinRH,HmMinRH,Pluvio_Rain,MaxWS,HmMaxWS,AvgWS,AvgWD,AvgSD,AvgSoil_T05,MaxSoil_T05,MinSoil_T05,AvgRS_kw,MaxRS_kw,HmMaxRS,TotRS_MJ,TBRG_Rain,Avg_Soil_TP5_TempC,Max_Soil_TP5_TempC,Min_Soil_TP5_TempC,Avg_Soil_TP5_VMC,Max_Soil_TP5_VMC,Min_Soil_TP5_VMC,Avg_Soil_TP20_TempC,Max_Soil_TP20_TempC,Min_Soil_TP20_TempC,Avg_Soil_TP20_VMC,Max_Soil_TP20_VMC,Min_Soil_TP20_VMC,Avg_Soil_TP50_TempC,Max_Soil_TP50_TempC,Min_Soil_TP50_TempC,Avg_Soil_TP50_VMC,Max_Soil_TP50_VMC,Min_Soil_TP50_VMC,Avg_Soil_TP100_TempC,Max_Soil_TP100_TempC,Min_Soil_TP100_TempC,Avg_Soil_TP100_VMC,Max_Soil_TP100_VMC,Min_Soil_TP100_VMC,EvapTot24
NULL,stadolphe,2023-05-02,"2023-05-03 00:00:00",775,243,12.71,7999,8.96,17.34,"2023-05-02 19:09:00",-1.861,"2023-05-02 06:09:00",44.5,82.5,"2023-05-02 06:06:00",19.89,"2023-05-02 19:32:00",0,8.04,"2023-05-02 18:05:20",2.617,334.8,57.13,6.472,12.01,1.657,0.308,0.878,"2023-05-02 13:58:10",26.55612,0,8.46,9.53,7.656,45.58,45.86,45.39,2.375,2.995,2.052,47.31,47.5,47.14,1.164,1.185,1.15,33.47,33.53,33.39,1.601,1.62,1.585,42.65,42.68,42.6,5.125
NULL,spraguelakebog,2023-05-02,"2023-05-03 00:00:00",775,561,12.63,7999,6.752,16.21,"2023-05-02 16:51:00",-1.983,"2023-05-02 05:36:00",45.9,78.54,"2023-05-02 04:33:00",18.47,"2023-05-02 15:46:00",0,9.53,"2023-05-02 10:50:15",3.159,327.2,29.3,NULL,NULL,NULL,0.288,0.827,"2023-05-02 13:19:00",24.83802,0,NULL,NULL,NULL,NULL,5.397,NULL,NULL,NULL,NULL,NULL,4.23,NULL,NULL,NULL,NULL,NULL,3.262,NULL,NULL,NULL,NULL,NULL,2.38,NULL,5.408
NULL,souris,2023-05-02,"2023-05-03 00:00:00",740,208,12.51,7999,8.76,19.86,"2023-05-02 17:44:00",-2.817,"2023-05-02 06:14:00",53.22,99.9,"2023-05-02 05:50:00",19.57,"2023-05-02 17:58:00",0,7.977,"2023-05-02 15:53:30",2.59,223,45.4,5.022,8.75,1.85,0.284,0.811,"2023-05-02 13:39:30",24.50277,0,5.079,7.611,2.829,29.21,29.33,28.99,4.53,5.774,3.547,26.45,26.52,26.4,1.401,1.475,1.315,36.67,36.76,36.49,1.597,1.612,1.581,30.87,31.11,30.71,5.336
NULL,somerset,2023-05-02,"2023-05-03 00:00:00",775,246,12.48,160,7.796,17.63,"2023-05-02 17:45:00",-1.584,"2023-05-02 05:37:00",52.65,80,"2023-05-02 05:29:00",22.32,"2023-05-02 15:02:00",0,6.448,"2023-05-02 15:59:00",2.934,287.7,56.43,2.091,4.338,0.328,0.316,0.911,"2023-05-02 13:55:20",27.29114,0,6.34,9.73,3.424,32.02,32.59,31.55,4.699,5.865,3.969,34.05,34.28,33.9,1.087,1.112,1.068,32.93,33.11,32.6,1.612,1.63,1.596,34.28,34.32,34.24,5.181
NULL,snowflake,2023-05-02,"2023-05-03 00:00:00",770,514,12.69,7999,7.144,17.59,"2023-05-02 18:46:00",-2.317,"2023-05-02 04:54:00",58.21,88.9,"2023-05-02 01:51:00",21.64,"2023-05-02 16:56:00",0,6.174,"2023-05-02 15:40:20",3.036,305.9,57.33,4.973,8.53,2.064,0.284,0.8,"2023-05-02 13:34:55",24.47366,0,5.732,8.57,3.351,27.21,27.77,26.87,3.878,4.797,3.371,33.62,33.72,33.55,2.005,2.023,1.978,32,32.08,31.92,2.745,2.759,2.728,38.89,38.97,38.82,4.46
NULL,sinclair,2023-05-02,"2023-05-03 00:00:00",754,543,12.79,7999,9.58,20.65,"2023-05-02 17:46:00",-2.709,"2023-05-02 06:33:00",52.6,97.2,"2023-05-02 07:31:00",17.38,"2023-05-02 17:34:00",0,8.78,"2023-05-02 14:37:20",2.605,223.2,50.78,6.149,10.06,2.738,0.324,0.947,"2023-05-02 13:37:25",27.96025,0,6.23,10.08,2.888,28.87,29.18,28.55,4.738,6.325,3.548,35.99,36.15,35.92,1.366,1.381,1.348,29.29,30.61,28.71,1.99,2.081,1.911,43.08,43.15,43,6.224
NULL,shilo,2023-05-02,"2023-05-03 00:00:00",775,558,12.69,7999,8.51,19.56,"2023-05-02 18:15:00",-3.35,"2023-05-02 02:25:00",47.64,84.3,"2023-05-02 02:32:00",16.61,"2023-05-02 14:56:00",0,8.27,"2023-05-02 16:49:20",2.929,255.3,49.71,8.33,13.72,3.751,0.291,0.86,"2023-05-02 13:49:10",25.1139,0,7.908,10.81,5.442,12.99,13.1,12.88,6.676,7.902,5.763,13.36,13.5,13.27,5.458,5.644,5.24,17.22,17.29,17.16,3.464,3.626,3.304,9.69,9.71,9.65,5.639
NULL,selkirk,2023-05-02,"2023-05-03 00:00:00",775,210,12.49,4769,8.03,17.53,"2023-05-02 18:13:00",-1.407,"2023-05-02 06:16:00",47.79,84.7,"2023-05-02 03:40:00",22.55,"2023-05-02 17:23:00",0,8.31,"2023-05-02 13:17:50",2.886,345.7,68.34,NULL,NULL,2.625,0.302,0.844,"2023-05-02 13:19:00",26.085,0,6.944,12.04,3.021,25.79,26.09,25.55,4.678,6.55,3.268,30.49,30.64,30.39,3.733,3.868,3.553,21.14,21.67,20.75,3.694,3.785,3.599,45.85,45.92,45.8,4.916
NULL,sanclara,2023-05-02,"2023-05-03 00:00:00",775,527,12.64,7999,9.89,20.39,"2023-05-02 18:15:00",-2.99,"2023-05-02 05:46:00",45.29,93.5,"2023-05-02 05:52:00",16.81,"2023-05-02 18:36:00",0,10.02,"2023-05-02 15:17:30",3.397,194.1,51.57,5.21,6.571,3.929,0.29,0.815,"2023-05-02 14:12:40",25.02287,0,7.011,9.33,4.777,33.87,34.07,33.7,5.836,6.585,5.303,37.25,37.32,37.19,3.169,3.284,3.049,36.92,36.98,36.86,2.94,3.006,2.875,34.11,34.18,34.04,6.377
NULL,ruthenia,2023-05-02,"2023-05-03 00:00:00",755,520,12.56,7999,9.24,20.65,"2023-05-02 17:09:00",-2.979,"2023-05-02 05:41:00",48.07,93.3,"2023-05-02 05:46:00",16.23,"2023-05-02 16:48:00",0,10.07,"2023-05-02 15:37:45",2.555,238,50.63,7.744,12.18,3.608,0.295,0.839,"2023-05-02 14:18:00",25.45242,0,8.62,11.59,5.888,19.65,21.17,14.1,6.384,7.57,5.544,40.08,40.2,39.99,NULL,NULL,NULL,30.71,30.74,30.69,3.752,3.84,3.67,35.55,35.59,35.52,5.86
