Path,Station,Date,TMSTAMP,RECNBR,StnID,BatMin,ProgSig,AvgAir_T,MaxAir_T,HmMaxAir_T,MinAir_T,HmMinAir_T,AvgRH,MaxRH,HmMaxRH,MinRH,HmMinRH,Pluvio_Rain,MaxWS,HmMaxWS,AvgWS,AvgWD,AvgSD,AvgSoil_T05,MaxSoil_T05,MinSoil_T05,AvgRS_kw,MaxRS_kw,HmMaxRS,TotRS_MJ,TBRG_Rain,Avg_Soil_TP5_TempC,Max_Soil_TP5_TempC,Min_Soil_TP5_TempC,Avg_Soil_TP5_VMC,Max_Soil_TP5_VMC,Min_Soil_TP5_VMC,Avg_Soil_TP20_TempC,Max_Soil_TP20_TempC,Min_Soil_TP20_TempC,Avg_Soil_TP20_VMC,Max_Soil_TP20_VMC,Min_Soil_TP20_VMC,Avg_Soil_TP50_TempC,Max_Soil_TP50_TempC,Min_Soil_TP50_TempC,Avg_Soil_TP50_VMC,Max_Soil_TP50_VMC,Min_Soil_TP50_VMC,Avg_Soil_TP100_TempC,Max_Soil_TP100_TempC,Min_Soil_TP100_TempC,Avg_Soil_TP100_VMC,Max_Soil_TP100_VMC,Min_Soil_TP100_VMC,EvapTot24
NULL,marchand,2023-04-28,"2023-04-29 00:00:00",773,537,12.71,7999,4.83,12.16,"2023-04-28 15:10:00",0.047,"2023-04-28 01:10:00",83.4,97.8,"2023-04-28 09:28:00",43.88,"2023-04-28 15:11:00",2.71,6.801,"2023-04-28 16:04:35",1.166,320.7,73.04,3.009,5.325,1.42,0.129,1.362,"2023-04-28 13:55:20",11.0892,3.2,2.331,3.099,1.632,20.41,20.69,20.18,2.327,2.572,2.123,26.62,27.21,26.32,2.644,2.674,2.607,29.84,30.21,29.37,2.342,2.354,2.328,34.39,34.44,34.33,1.59
NULL,manitou,2023-04-28,"2023-04-29 00:00:00",773,242,12.77,7999,4.283,9.47,"2023-04-28 18:04:00",-1.177,"2023-04-28 01:14:00",75.19,95.8,"2023-04-28 01:23:00",43.62,"2023-04-28 14:11:00",0,7.389,"2023-04-28 10:18:35",2.605,322.3,55.31,5.4,8.22,3.028,0.201,1.212,"2023-04-28 13:00:25",17.28654,0,5.797,7.343,4.513,36.65,36.88,36.24,3.876,4.513,3.48,39.2,39.45,38.93,2.755,2.781,2.712,37.31,37.54,37.15,3.066,3.085,3.045,35.69,36.1,35.48,2.404
NULL,laurier,2023-04-28,"2023-04-29 00:00:00",757,553,12.79,7999,6.305,11.38,"2023-04-28 15:44:00",-0.022,"2023-04-28 05:36:00",64.1,88.9,"2023-04-28 05:46:00",35.71,"2023-04-28 15:34:00",0,6.174,"2023-04-28 17:43:45",2.522,312.7,78.8,4.099,6.474,1.872,0.2,1.169,"2023-04-28 13:17:40",17.21449,0,4.971,6.475,3.593,41.97,42.13,41.8,10.67,11.4,10.24,38.54,38.56,38.52,2.562,3.5,1.676,30.27,30.36,30.17,2.016,2.091,1.956,43.74,45.66,43.1,2.807
NULL,lakeland,2023-04-28,"2023-04-29 00:00:00",773,539,12.74,7999,5.356,10.25,"2023-04-28 17:15:00",0.371,"2023-04-28 06:04:00",72.45,93.7,"2023-04-28 06:11:00",35.61,"2023-04-28 17:09:00",0,6.782,"2023-04-28 08:04:45",3.238,34.1,73.51,5.187,7.917,2.399,0.21,1.175,"2023-04-28 13:19:55",18.08998,0,6.525,8.76,4.218,36.28,36.47,35.91,6.254,6.973,5.762,28.39,28.46,28.32,3.076,3.418,2.734,33.3,33.41,33.23,2.651,2.765,2.545,44.49,44.55,44.42,2.758
NULL,lakefrancis,2023-04-28,"2023-04-29 00:00:00",773,556,12.55,7999,5.72,10.86,"2023-04-28 18:59:00",1.978,"2023-04-28 02:11:00",70.08,92.1,"2023-04-28 02:13:00",29.74,"2023-04-28 18:58:00",0,7.624,"2023-04-28 11:06:35",2.314,318.2,54.35,1.334,2.918,0.18,0.203,1.215,"2023-04-28 14:48:15",17.51124,0,1.558,1.922,1.346,45.19,45.84,44.06,1.166,1.186,1.156,16.61,16.69,16.54,4.64,4.65,4.632,30.52,32.3,29.31,2.948,2.956,2.939,34.29,34.34,34.2,2.748
NULL,lakeaudy,2023-04-28,"2023-04-29 00:00:00",773,549,12.69,7999,4.393,9.77,"2023-04-28 17:08:00",-4.096,"2023-04-28 06:26:00",66.51,98.4,"2023-04-28 06:35:00",36.06,"2023-04-28 13:19:00",0,7.468,"2023-04-28 16:40:30",1.816,295.6,54.05,6.878,10.75,2.266,0.189,1.168,"2023-04-28 13:40:55",16.2853,0,7.185,9.58,4.484,36.61,36.9,36.32,5.636,6.222,5.051,37.67,37.78,37.6,3.52,3.653,3.359,26.44,26.47,26.41,2.974,3.044,2.91,29.78,29.8,29.76,2.752
NULL,lacdubonnet,2023-04-28,"2023-04-29 00:00:00",773,557,12.87,7999,5.4,10.76,"2023-04-28 13:07:00",1.44,"2023-04-28 03:33:00",83.1,99.6,"2023-04-28 05:08:00",49.5,"2023-04-28 13:08:00",0.48,7.056,"2023-04-28 15:50:00",1.638,86.3,77.25,5.829,7.728,4.206,0.157,1.31,"2023-04-28 13:04:50",13.48537,0.8,7.116,8.05,6.279,41.86,42.19,41.5,3.877,4.142,3.647,48.56,48.59,48.51,3.391,3.543,3.204,46.77,46.95,46.66,2.97,3.011,2.938,49.28,49.32,49.2,2.061
NULL,kola,2023-04-28,"2023-04-29 00:00:00",773,531,12.66,7999,5.475,10.7,"2023-04-28 17:33:00",-0.399,"2023-04-28 06:44:00",74.04,99.9,"2023-04-28 00:01:00",41.46,"2023-04-28 17:20:00",0,9.06,"2023-04-28 17:59:40",2.238,327.4,70.88,-0.202,-0.19,-0.218,0.199,1.111,"2023-04-28 14:22:10",17.16733,0,8.63,11.08,6.231,25.71,26.59,24.8,3.438,4.62,2.413,32.21,33.1,31.39,1.302,1.321,1.285,28.82,28.97,28.67,1.382,1.397,1.366,29.67,29.94,29.42,2.623
NULL,killarney,2023-04-28,"2023-04-29 00:00:00",773,220,12.46,3854,4.486,9.88,"2023-04-28 18:42:00",-1.645,"2023-04-28 05:58:00",74.37,100,"2023-04-28 08:46:00",42.39,"2023-04-28 15:52:00",0,7.174,"2023-04-28 10:47:50",3.258,300.2,45.91,2.965,4.671,1.308,0.207,1.238,"2023-04-28 13:28:00",17.81015,0,5.636,6.925,4.418,46.79,50.09,41.1,4.009,4.709,3.495,44.2,44.44,42.29,2.797,3.065,2.518,45.2,45.6,44.7,3.322,3.402,3.056,50.26,50.87,49.58,2.712
NULL,kenton,2023-04-28,"2023-04-29 00:00:00",773,548,12.91,7999,4.696,11.08,"2023-04-28 18:18:00",-3.399,"2023-04-28 05:05:00",68.9,98.4,"2023-04-28 04:08:00",38.21,"2023-04-28 13:02:00",0,8.11,"2023-04-28 19:14:15",2.682,304.2,49.01,5.113,7.446,2.734,0.213,1.354,"2023-04-28 13:03:05",18.32327,0,5.186,6.485,3.911,43.97,44.25,43.76,4.429,4.956,4.026,47.34,47.5,47.07,3.275,3.334,3.159,43.69,43.78,43.6,8.52,8.56,8.45,44.16,44.26,44.07,3.027
NULL,keld,2023-04-28,"2023-04-29 00:00:00",773,532,12.86,7999,5.794,10.96,"2023-04-28 16:54:00",0.05,"2023-04-28 07:00:00",66.58,97.1,"2023-04-28 00:13:00",36.03,"2023-04-28 13:28:00",0,8.6,"2023-04-28 19:49:15",1.958,259.2,64.61,4.536,8.33,1.143,0.193,1.08,"2023-04-28 13:32:45",16.64547,0,4.862,7.865,1.938,36.74,37.04,36.47,3.261,4.595,2.107,31.57,31.89,31.19,1.162,1.185,1.141,26.95,27.79,26.41,1.587,1.602,1.572,48.59,48.67,48.54,2.82
NULL,kane,2023-04-28,"2023-04-29 00:00:00",773,524,12.57,7999,5.876,10.36,"2023-04-28 15:26:00",1.821,"2023-04-28 00:23:00",80.3,97.5,"2023-04-28 04:52:00",54.07,"2023-04-28 19:36:00",0.14,7.076,"2023-04-28 06:32:50",2.873,320.8,55.75,3.99,6.233,2.21,0.128,1.078,"2023-04-28 11:48:35",11.01352,0,3.042,4.099,2.33,32.37,32.5,32.26,1.235,1.864,1.01,29.94,31.26,25.52,0.327,0.37,0.292,24,24.17,23.87,0.429,0.462,0.412,29.36,29.39,29.34,1.573
NULL,inwood,2023-04-28,"2023-04-29 00:00:00",773,516,12.77,7999,5.964,10.81,"2023-04-28 15:16:00",1.81,"2023-04-28 05:57:00",73.42,98.6,"2023-04-28 01:00:00",42.07,"2023-04-28 19:37:00",0,5.527,"2023-04-28 14:14:35",1.889,319.8,80.4,4.083,4.975,3.351,0.157,1.164,"2023-04-28 12:03:05",13.55163,0.2,5.223,6.522,4.066,42.65,43.36,42.14,4.439,4.94,4.139,29.52,32.55,27.68,3.466,3.55,3.366,63.98,64.12,63.89,3.521,3.573,3.471,43.18,43.21,43.15,2.21
NULL,inglis,2023-04-28,"2023-04-29 00:00:00",773,525,12.59,7999,2.849,9.63,"2023-04-28 15:22:00",-5.764,"2023-04-28 04:12:00",74.03,98.7,"2023-04-28 07:39:00",42.86,"2023-04-28 15:45:00",0,7.958,"2023-04-28 17:27:30",1.74,259.2,75.97,2.413,3.666,1.468,0.211,1.16,"2023-04-28 15:17:50",18.18342,0,3.469,4.48,2.899,33.06,34.48,32.25,1.328,1.427,1.283,33.41,33.97,33.27,1.712,1.758,1.653,NULL,NULL,NULL,1.937,1.96,1.908,47.2,47.23,47.14,2.696
NULL,holland,2023-04-28,"2023-04-29 00:00:00",766,559,12.83,7999,5.681,11.35,"2023-04-28 17:18:00",0.867,"2023-04-28 06:22:00",67.52,91.2,"2023-04-28 07:03:00",37.81,"2023-04-28 17:18:00",0,6.566,"2023-04-28 10:37:00",2.134,290.2,92.4,2.79,4.183,1.471,0.15,1.236,"2023-04-28 13:33:55",12.92761,0,1.145,1.173,1.125,17.75,22.41,15.06,0.985,1.001,0.965,17.62,17.65,17.61,2,2.128,1.882,28.68,30.07,27.39,1.798,1.812,1.781,31.55,31.66,31.45,2.233
NULL,hamiota,2023-04-28,"2023-04-29 00:00:00",751,214,12.71,7999,3.737,9.84,"2023-04-28 18:18:00",-3.915,"2023-04-28 03:55:00",73.19,99.9,"2023-04-28 04:22:00",42.65,"2023-04-28 12:08:00",0,7.311,"2023-04-28 13:40:05",2.176,317,51.78,2.013,4.485,0.021,0.205,1.154,"2023-04-28 13:45:10",17.67856,0,2.623,4.27,1.21,35.3,36.09,34.92,1.467,2.088,1.073,26.8,27.23,26.53,1.731,1.759,1.706,26.11,26.28,25.95,1.952,1.965,1.927,28.4,28.43,28.35,2.58
NULL,grandview,2023-04-28,"2023-04-29 00:00:00",773,219,12.56,7999,4.256,11.3,"2023-04-28 15:49:00",-3.046,"2023-04-28 05:42:00",69.84,95.5,"2023-04-28 03:26:00",37.8,"2023-04-28 12:41:00",0.54,10.37,"2023-04-28 16:20:55",3.002,260.7,56.66,6.338,8.64,3.909,0.198,1.128,"2023-04-28 12:35:15",17.06594,0.4,6.818,8.63,4.891,34.84,35.05,34.63,2.191,2.678,1.903,40.63,41.03,40.32,4.902,4.915,4.891,31.06,31.4,30.77,2.804,2.829,2.774,47,47.05,46.95,3.008
NULL,glenboro,2023-04-28,"2023-04-29 00:00:00",773,239,12.68,7999,5.398,11.23,"2023-04-28 16:13:00",-0.396,"2023-04-28 07:30:00",70.64,96.3,"2023-04-28 07:35:00",38.15,"2023-04-28 17:07:00",0,6.233,"2023-04-28 18:36:15",2.563,292.4,39.27,4.367,7.038,1.944,0.159,1.134,"2023-04-28 14:53:55",13.66395,0,9.51,11.1,7.762,37.88,38,37.68,2.184,2.509,1.918,44.31,44.52,44.02,2.265,2.325,2.185,43.51,43.75,43.36,2.192,2.208,2.179,42.3,42.38,42.12,2.394
NULL,gladstone,2023-04-28,"2023-04-29 00:00:00",766,204,12.71,7999,6.095,12.18,"2023-04-28 16:31:00",0.456,"2023-04-28 06:19:00",72.11,100,"2023-04-28 05:31:00",34.42,"2023-04-28 16:31:00",0,7.252,"2023-04-28 08:48:30",2.922,6.182,71.9,0.68,1.447,0.059,0.237,1.233,"2023-04-28 14:34:45",20.48849,0,9.82,11.21,8.61,35.73,36.61,34.67,1.433,1.625,1.328,33.86,35.31,32.5,1.256,1.271,1.241,15.22,15.29,15.14,1.812,1.828,1.799,14.83,14.92,14.76,3.127
NULL,gardenton,2023-04-28,"2023-04-29 00:00:00",773,518,12.71,7999,5.331,10.65,"2023-04-28 16:29:00",1.904,"2023-04-28 05:20:00",86,100,"2023-04-28 00:06:00",51.16,"2023-04-28 16:45:00",0,7.154,"2023-04-28 18:13:50",1.894,319,64.81,4.704,5.844,3.76,0.107,0.743,"2023-04-28 14:09:45",9.159744,0,5.34,6.492,4.412,16.82,17,16.69,4.176,4.694,3.838,16.21,16.36,16.12,3.751,3.943,3.479,7.374,7.405,7.365,NULL,NULL,NULL,12.56,12.79,12.36,1.428
NULL,forrest,2023-04-28,"2023-04-29 00:00:00",773,233,12.51,5101,4.867,10.93,"2023-04-28 14:31:00",-2.828,"2023-04-28 03:51:00",67.11,99.9,"2023-04-28 02:17:00",33.24,"2023-04-28 14:33:00",0,8.33,"2023-04-28 14:40:55",2.746,314.6,50.36,0.406,0.993,0.051,0.178,1.125,"2023-04-28 14:13:55",15.38705,0,2.253,3.137,1.521,34.02,34.9,33.67,1.271,1.283,1.252,26.31,26.35,26.25,1.231,1.249,1.21,8.84,8.85,8.82,1.311,1.335,1.298,22.04,22.11,21.98,2.745
NULL,forkriver,2023-04-28,"2023-04-29 00:00:00",747,511,12.57,7999,5.303,11.1,"2023-04-28 16:31:00",NULL,"2023-04-28 06:38:00",70.8,100,"2023-04-28 00:01:00",NULL,"2023-04-28 06:38:00",0,6.213,"2023-04-28 14:13:55",1.8,238.4,93.3,6.428,9.34,4.015,0.2,1.031,"2023-04-28 12:10:55",17.22805,NULL,6.764,9,4.818,49.06,49.75,48.38,13.38,14.3,12.91,41.1,41.22,40.92,5.068,5.294,4.858,44.45,44.54,44.38,4.669,4.787,4.523,47.14,47.2,47.05,2.715
NULL,fisherton,2023-04-28,"2023-04-29 00:00:00",773,517,12.81,7999,5.738,10.99,"2023-04-28 16:18:00",-1.243,"2023-04-28 06:08:00",67.98,98.3,"2023-04-28 06:00:00",34.99,"2023-04-28 12:24:00",0,3.998,"2023-04-28 18:15:35",0.22,319.7,86.4,2.827,4.621,1.038,0.179,1.161,"2023-04-28 12:45:40",15.40283,0,2.67,4.053,1.352,41.56,44.17,40.13,1.663,2.108,1.325,51.8,52.22,51.17,1.549,1.587,1.501,60.38,60.5,60.29,2.245,2.264,2.226,49.46,49.55,49.37,1.811
NULL,findlay,2023-04-28,"2023-04-29 00:00:00",149,504,12.75,1814,5.507,11.37,"2023-04-28 17:01:00",-2.458,"2023-04-28 05:33:00",72.92,100,"2023-04-28 01:27:00",41.04,"2023-04-28 17:53:00",NULL,6.684,"2023-04-28 16:40:20",2.218,308.2,66.99,4.928,8.16,1.337,0.23,1.239,"2023-04-28 13:16:45",19.877,0.2,5.997,8.56,3.255,24.21,25.28,23.45,5.373,6.221,4.632,18.84,19.21,18.38,1.879,2.242,1.669,31.26,31.65,30.79,1.924,1.978,1.885,26.92,26.95,26.86,2.909
NULL,ethelbert,2023-04-28,"2023-04-29 00:00:00",766,213,12.83,7999,5.962,11.06,"2023-04-28 16:48:00",0.496,"2023-04-28 06:26:00",62.09,93.8,"2023-04-28 23:59:00",36.5,"2023-04-28 16:49:00",1.05,7.82,"2023-04-28 18:29:45",2.496,264.9,69.11,1.886,3.503,0.389,0.142,1.087,"2023-04-28 15:58:00",12.18592,0.8,2.211,3.365,1.23,35.57,36.05,35.15,1.609,2.193,1.2,33.77,34.57,33.22,1.512,1.551,1.488,36.62,37.82,35.71,1.306,1.33,1.29,27.72,28.09,27.04,2.62
NULL,eriksdale,2023-04-28,"2023-04-29 00:00:00",773,218,12.76,7999,5.646,11.85,"2023-04-28 14:14:00",-1.763,"2023-04-28 06:42:00",69.78,99.9,"2023-04-28 05:59:00",37.34,"2023-04-28 14:18:00",0,5.527,"2023-04-28 11:20:20",1.762,324.4,70.64,-0.042,-0.026,-0.048,0.166,1.107,"2023-04-28 13:42:25",14.30621,0,5.508,7.796,3.355,42.55,42.99,42.17,4.756,5.539,4.09,43.15,43.42,42.78,1.825,1.896,1.766,38.05,38.09,38.01,3.478,3.516,3.45,54.68,54.73,54.6,2.352
NULL,elmcreek,2023-04-28,"2023-04-29 00:00:00",755,237,12.79,7999,6.5,12.13,"2023-04-28 15:46:00",2.303,"2023-04-28 06:32:00",73.87,96.2,"2023-04-28 04:10:00",39.84,"2023-04-28 15:34:00",0.62,6.782,"2023-04-28 04:56:45",3.33,330.1,38.26,5.762,8.93,3.274,0.22,1.098,"2023-04-28 13:54:25",18.98481,0.6,5.578,7.9,3.764,46.62,47.83,45.32,3.388,4.361,2.838,46.08,46.15,46.01,0.875,0.893,0.848,32.5,32.62,32.36,0.878,0.891,0.861,12.9,12.92,12.87,2.908
NULL,elma,2023-04-28,"2023-04-29 00:00:00",773,522,12.43,7999,5.741,11.17,"2023-04-28 14:42:00",2.245,"2023-04-28 05:31:00",82,99.2,"2023-04-28 05:38:00",43.29,"2023-04-28 14:41:00",0,9.13,"2023-04-28 18:42:15",1.667,91.8,83.3,3.202,4.652,2.03,0.128,1.173,"2023-04-28 12:54:30",10.99333,0.2,5.034,6.13,4.156,30.85,30.97,30.71,4.946,5.343,4.676,37.34,37.41,37.29,2.687,2.826,2.53,54.68,54.9,54.58,2.595,2.634,2.551,46.59,46.65,46.55,1.698
NULL,elie,2023-04-28,"2023-04-29 00:00:00",773,536,12.75,7999,5.556,11.02,"2023-04-28 16:33:00",1.614,"2023-04-28 05:42:00",73.38,94,"2023-04-28 02:49:00",44.37,"2023-04-28 18:15:00",0.13,6.017,"2023-04-28 15:34:50",2.314,338.6,48.52,2.321,3.493,1.533,0.194,1.263,"2023-04-28 13:26:35",16.72971,0.2,3.711,4.701,3.097,36.32,36.42,36.19,1.895,2.529,1.524,31.77,32.22,31.44,-0.163,-0.13,-0.208,25.86,25.91,25.83,0.227,0.248,0.213,18.31,18.34,18.26,2.528
NULL,eden,2023-04-28,"2023-04-29 00:00:00",773,545,12.77,7999,6.374,11.51,"2023-04-28 16:39:00",0.937,"2023-04-28 06:27:00",61.32,86.4,"2023-04-28 02:59:00",35.5,"2023-04-28 13:41:00",0,6.625,"2023-04-28 00:01:00",2.673,351.2,75.82,3.427,5.557,1.432,0.212,1.322,"2023-04-28 13:03:15",18.29469,0,3.266,4.681,2.044,23.97,25.19,23.03,1.851,2.981,1.457,25.57,27.71,20.66,1.184,1.196,1.166,5.708,5.796,5.63,1.663,1.673,1.641,8.74,8.82,8.65,3.192
NULL,dugald,2023-04-28,"2023-04-29 00:00:00",773,217,12.53,7999,6,10.54,"2023-04-28 12:35:00",1.668,"2023-04-28 06:26:00",79.94,96.5,"2023-04-28 05:57:00",54.21,"2023-04-28 17:54:00",0,6.252,"2023-04-28 18:36:45",2.169,10.9,68.9,5.175,7.863,2.736,0.129,1.078,"2023-04-28 12:37:45",11.12416,0,4.849,6.207,3.641,42.52,43.23,41.85,1.179,1.196,1.165,37.65,42.67,35.66,1.34,1.352,1.319,28.6,28.66,28.54,2.081,2.091,2.071,37.79,37.81,37.76,1.828
NULL,driftingriver,2023-04-28,"2023-04-29 00:00:00",773,512,12.76,7999,6.198,11.62,"2023-04-28 16:29:00",0.358,"2023-04-28 02:37:00",64.45,92.6,"2023-04-28 02:39:00",36.98,"2023-04-28 14:24:00",0.86,7.428,"2023-04-28 19:03:15",2.409,282.6,63.78,3.919,5.447,2.4,0.17,1.04,"2023-04-28 11:45:25",14.67534,1.2,5.043,6.476,3.564,40.56,40.93,40.23,4.468,5.236,3.789,38.95,39.1,38.82,5.806,5.836,5.759,43.15,43.19,43.07,3.77,3.815,3.718,42.04,42.09,41.99,2.744
NULL,dominioncity,2023-04-28,"2023-04-29 00:00:00",773,535,12.79,7999,5.411,11.3,"2023-04-28 15:49:00",0.455,"2023-04-28 01:33:00",83.1,95.9,"2023-04-28 07:41:00",49.35,"2023-04-28 15:50:00",1.34,8.53,"2023-04-28 16:26:25",3.299,323.7,45.24,1.855,3.168,0.846,0.171,1.148,"2023-04-28 13:15:45",14.76183,1.4,3.197,4.149,2.483,38.37,38.78,37.75,2.437,2.446,2.43,31.27,38.43,28.68,3.514,3.914,2.669,41.67,41.81,41.58,3.092,3.108,3.064,45.21,45.24,45.17,2.208
NULL,deloraine,2023-04-28,"2023-04-29 00:00:00",773,241,12.8,6877,5.022,10.16,"2023-04-28 18:24:00",-1.926,"2023-04-28 07:08:00",73.7,100,"2023-04-28 00:00:05",41.95,"2023-04-28 14:14:00",1.94,6.409,"2023-04-28 17:52:10",1.912,303.5,83.7,4.162,5.841,2.43,0.202,1.174,"2023-04-28 13:50:00",17.40201,2.4,5.471,6.972,3.935,33.62,33.96,32.98,4.089,4.665,3.698,29.41,29.57,29.32,3.544,3.637,3.41,41.31,41.34,41.26,2.454,2.513,2.403,31.79,31.83,31.76,2.706
NULL,dand,2023-04-28,"2023-04-29 00:00:00",773,542,12.77,4537,4.949,10.31,"2023-04-28 18:10:00",-2.164,"2023-04-28 05:36:00",72.07,97.2,"2023-04-28 06:54:00",42.17,"2023-04-28 19:00:00",1.37,7.33,"2023-04-28 17:31:55",1.948,289,58.89,4.105,5.724,2.139,0.21,1.237,"2023-04-28 13:14:35",18.08533,1.6,1.668,2.252,1.216,35.37,36.5,34.72,2.269,2.294,2.251,31.79,31.84,31.75,1.74,1.895,1.597,27.51,27.55,27.45,5.398,5.439,5.359,40.22,43.36,35.27,2.712
NULL,clearwater,2023-04-28,"2023-04-29 00:00:00",773,501,12.7,7999,4.864,10.71,"2023-04-28 16:22:00",-0.333,"2023-04-28 02:18:00",75.71,99.9,"2023-04-28 00:48:00",40.08,"2023-04-28 16:22:00",0,7.722,"2023-04-28 11:10:25",3.356,316.5,45.93,4.005,6.95,1.538,0.194,1.278,"2023-04-28 13:30:20",16.7629,0,5.468,8.06,3.269,26.9,27.1,26.53,4.307,5.26,3.494,22.9,23.16,22.62,1.397,1.504,1.326,19.02,19.21,18.83,1.593,1.607,1.577,23.78,23.88,23.7,2.482
NULL,cartwright,2023-04-28,"2023-04-29 00:00:00",773,502,12.76,7999,4.467,10.47,"2023-04-28 14:42:00",-1.218,"2023-04-28 05:58:00",73.34,100,"2023-04-28 02:35:00",37.12,"2023-04-28 14:43:00",0,7.213,"2023-04-28 11:42:50",2.856,306.5,40.99,3.32,5.22,1.531,0.185,1.233,"2023-04-28 13:24:50",15.97287,0,5.539,6.651,4.381,25.57,25.86,25.27,3.171,3.718,2.569,31.53,31.8,31.1,1.707,1.741,1.628,37.29,37.47,37.13,1.668,1.689,1.655,20.69,20.99,20.41,2.506
NULL,carman,2023-04-28,"2023-04-29 00:00:00",945,212,12.85,7999,6.426,11.83,"2023-04-28 17:06:00",1.788,"2023-04-28 00:51:00",74.69,100,"2023-04-28 03:50:00",40.33,"2023-04-28 18:15:00",0.14,5.802,"2023-04-28 08:26:50",2.174,321.3,31.43,7.13,10.74,4.224,0.196,1.285,"2023-04-28 13:39:55",16.91316,0,7.382,9.84,5.432,36.34,36.58,35.8,5.565,6.539,4.85,38.93,39.25,38.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.717
NULL,carberry,2023-04-28,"2023-04-29 00:00:00",2005,314,12.62,7999,4.762,10.3,"2023-04-28 16:06:00",-2.38,"2023-04-28 06:37:00",66.07,95.5,"2023-04-28 05:54:00",34.2,"2023-04-28 16:57:00",NULL,4.978,"2023-04-28 18:04:15",1.728,304.2,52.41,6.998,11.06,3.014,0.194,1.17,"2023-04-28 14:24:15",16.68277,0,7.44,9.93,4.899,28.86,29.31,28.33,5.805,6.761,4.866,30.58,30.81,30.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.829
NULL,brunkild,2023-04-28,"2023-04-29 00:00:00",773,530,12.49,7999,6.175,15.26,"2023-04-28 18:22:00",1.748,"2023-04-28 06:27:00",81,100,"2023-04-28 00:00:05",38.61,"2023-04-28 18:21:00",0,7.526,"2023-04-28 01:59:50",2.976,333.8,50.3,4.344,6.63,2.502,0.143,1.128,"2023-04-28 13:06:40",12.32392,0,13.01,NULL,11.25,42.37,42.74,41.87,2.917,3.835,2.407,44.78,45.09,43.93,0.458,0.478,0.428,24.11,24.14,24.07,0.577,0.603,0.556,31.61,31.64,31.57,1.969
NULL,boissevain,2023-04-28,"2023-04-29 00:00:00",773,209,12.62,7999,5.265,11.22,"2023-04-28 14:48:00",-1.712,"2023-04-28 06:36:00",68.52,95.5,"2023-04-28 05:20:00",38.06,"2023-04-28 14:57:00",0.26,6.801,"2023-04-28 14:53:15",2.508,292.9,48.38,5.442,9.19,1.987,0.224,1.21,"2023-04-28 13:22:35",19.2902,0,4.216,5.58,2.813,24.42,24.66,24.19,3.344,4.423,2.694,20.67,20.87,20.57,3.327,3.498,3.064,18.29,18.32,18.27,2.551,2.641,2.457,25.53,25.58,25.5,3.112
NULL,birchriver,2023-04-28,"2023-04-29 00:00:00",757,563,12.41,7999,4.655,11,"2023-04-28 14:10:00",-3.674,"2023-04-28 06:17:00",70.83,95.3,"2023-04-28 23:56:00",40.21,"2023-04-28 15:28:00",0.61,9,"2023-04-28 13:54:15",3.017,231.9,40.75,5.749,8.86,2.662,0.187,1.066,"2023-04-28 14:02:40",16.12581,0.8,5.983,8.53,3.604,NULL,NULL,NULL,4.897,5.825,3.814,NULL,NULL,NULL,5.246,5.349,5.131,NULL,NULL,NULL,4.545,4.614,4.449,NULL,NULL,NULL,2.927
NULL,bede,2023-04-28,"2023-04-29 00:00:00",773,740,12.38,7999,5.309,11.75,"2023-04-28 17:40:00",-2.335,"2023-04-28 06:04:00",72.73,100,"2023-04-28 02:30:00",38.51,"2023-04-28 17:02:00",1.87,6.507,"2023-04-28 18:41:35",2.347,305.7,79.07,4.304,7.353,0.896,0.206,1.136,"2023-04-28 13:58:55",17.77203,2.2,5.292,7.871,2.273,27.58,28.48,26.72,3.437,4.421,2.474,34.88,35.4,34.3,1.633,1.651,1.62,27.8,28.04,27.53,1.962,1.971,1.949,23.19,23.22,23.15,2.765
NULL,beausejour,2023-04-28,"2023-04-29 00:00:00",773,251,12.48,7999,5.355,11.64,"2023-04-28 15:04:00",1.283,"2023-04-28 04:58:00",82.4,96.5,"2023-04-28 05:11:00",52.97,"2023-04-28 15:04:00",0,9.43,"2023-04-28 15:14:15",1.658,20.35,61.5,2.907,4.904,1.187,0.132,0.776,"2023-04-28 11:48:25",11.3804,0,5.088,7.161,3.206,53.44,54.29,52.4,2.032,2.51,1.623,55.45,55.62,55.3,1.059,1.077,1.038,21.75,21.8,21.72,1.71,1.734,1.697,37.08,37.12,37.05,1.726
NULL,baldur,2023-04-28,"2023-04-29 00:00:00",773,503,12.54,7999,4.953,10.52,"2023-04-28 17:00:00",0.124,"2023-04-28 05:09:00",75.83,99.9,"2023-04-28 02:50:00",40.22,"2023-04-28 16:33:00",0,6.174,"2023-04-28 17:28:40",3.118,311.4,46.24,1.6,3.19,0.296,0.185,1.236,"2023-04-28 12:35:30",15.93585,0,3.188,4.337,2.234,24.41,24.76,24.21,3.397,3.664,3.248,25.69,27.99,24.83,2.162,2.286,2.06,49.04,49.15,48.92,3.158,3.194,3.133,46.65,46.73,46.53,2.445
