StnID,StationName,lat,long,Elevation,NormLocation
526,Pipe Lake,51.316,-100.693,530,5995260
527,San Clara,51.421,-101.398,606,5995270
528,Rorketon,51.333,-99.493,260,5995280
529,St. Lazare,50.447,-101.231,503,5995290
531,Kola,49.857,-101.37,535,5995310
740,Bede,49.402,-100.93,437,5997400
530,Brunkild ,49.591,-97.518,238,5995300
532,Keld,50.993,-100.227,428,5995320
533,Austin,49.9607,-98.9054,303,5995330
534,Bagot,49.9601,-98.6367,285,5995340
535,Dominion City,49.1631,-97.1454,237,5995350
536,Elie,49.96,-97.7463,240,5995360
537,Marchand,49.4294,-96.4428,300,5995370
538,Rosa,49.2415,-96.8135,281,5995380
539,Lakeland,50.2548,-98.6376,260,5995390
540,Plumas,50.4029,-99.007,273,5995400
541,Newdale,50.3389,-100.1616,606,5995410
542,Dand,49.3776,-100.5387,472,5995420
543,Sinclair,49.4919,-101.3028,496,5995430
544,Alexander,49.8134,-100.3721,431,5995440
545,Eden,50.4324,-99.4392,384,5995450
546,McAuley,50.182,-101.4239,506,5995460
547,Miniota,50.137,-100.9434,470,5995470
548,Kenton,50.0187,-100.5926,474,5995480
549,Lake Audy,50.6803,-100.2593,569,5995490
550,Rivers,50.0514,-100.2341,488,5995500
551,Neepawa,50.1889,-99.432,379,5995510
552,Reedy Creek,50.9461,-98.9286,251,5995520
553,Laurier,50.8753,-99.6024,303,5995530
554,St. Claude,49.6649,-98.3329,305,5995540
555,Stonewall,50.1227,-97.3033,247,5995550
556,Lake Francis,50.3583,-97.8755,261,5995560
557,Lac du Bonnet,50.2796,-96.0507,259,5995570
558,Shilo,49.8277,-99.6988,378,5995580
559,Holland,49.591,-98.984,372,5995590
560,Prawda,49.6477,-95.7241,306,5995600
561,Sprague Lake,49.3325,-95.4056,358,5995610
562,Poplarfield,50.8858,-97.603,270,5995620
563,Birch River,52.3472,-101.1099,306,5995630
564,Riverton,51.0203,-97.0625,222,5995640
565,Stead,50.4138,-96.4111,237,5995650
566,BrandonNH,49.876,-99.909,394,5995660
567,Richer,49.6089,-96.5256,280,5995670
568,Petersfield,50.2994,-97.0406,230,5995680
569,Clarkleigh,50.5947,-98.0035,253,5995690
570,Saint Labre,49.3116,-95.9831,358,5995700
571,Ingelow,49.9674,-99.5919,386,5995710
572,Erickson,50.5057,-99.9013,632,5995720
573,Jordan,49.3663,-98.0219,268,5995730
574,Amaranth,50.6424,-98.6686,251,5995740
575,Ashville,51.1623,-100.297,342,5995750
2,Brandon,49.91,-99.95,409.3,5010481
4,Carberry EC,49.91,-99.36,383.5,5010547
5,Carman EC,49.5,-98.03,268.2,502I001
8,Cypress River,49.56,-99.07,374,5010641
9,Dauphin,51.1,-100.06,304.5,5040681
11,Emerson,49,-97.24,242,5020881
14,Gimli,50.63,-97.05,230.1,50310D0
17,Gretna,49.03,-97.56,252.6,5021220
22,Kleefeld,49.52,-96.9,246.5,5021500
25,McCreary,50.71,-99.53,351,5043158
26,Melita,49.28,-100.99,445.9,501A7AR
29,Morden,49.19,-98.08,297.5,5021849
34,Pilot Mound,49.19,-98.9,470.3,5022125
35,Pinawa,50.18,-96.06,268,503B1ER
37,Portage EC,49.9,-98.27,269.7,5012320
38,Roblin,51.18,-101.36,539.5,5012469
40,Shoal Lake,50.45,-100.6,561.3,5012654
41,Sprague,49.02,-95.6,328.8,5022759
44,Swan River,52.11,-101.23,334.8,504K80K
45,The Pas,53.97,-101.09,270.6,5052882
51,Wasagaming,50.66,-99.94,627.4,5013117
52,Winnipeg,49.91,-97.24,238.7,5023227
55,Deerwood,49.4,-98.32,341.4,5020725
56,Fisher Branch,51.08,-97.55,253,50309J6
