Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
NAPINKA,MANITOBA,5011990,6950,,,49.33,-100.85,492000000,-1005100000,434.6,1991,1992,,,1991,1992,1991,1992
NORQUAY,MANITOBA,5012046,3511,,,49.48,-98.75,492900000,-984500000,457.2,1883,1913,,,1883,1913,1883,1913
OAKNER,MANITOBA,5012054,3513,,,50.1,-100.63,500600000,-1003800000,502.9,1962,2007,,,1962,2007,1962,2007
OLHA,MANITOBA,501205N,3512,,,50.67,-100.55,504000000,-1003300000,621.8,1966,1995,,,1966,1995,1966,1995
PIERSON,MANITOBA,5012080,3514,,,49.18,-101.27,491100000,-1011600000,469,1904,2007,,,1904,2007,1904,2007
PIPESTONE,MANITOBA,5012200,3515,,,49.53,-100.92,493200000,-1005500000,437.4,1899,1985,,,1899,1985,1899,1985
PORTAGE LA PRAIRIE,MANITOBA,5012279,3516,,,49.97,-98.3,495800000,-981800000,261.2,1886,1918,,,1886,1918,1887,1918
PORTAGE LA PRAIRIE,MANITOBA,5012280,3517,,,49.97,-98.3,495800000,-981800000,261.2,1904,1971,,,1904,1971,1904,1971
PORTAGE ROMANCE,MANITOBA,5012300,45987,,,49.98,-98.3,495900000,-981800000,262.4,2007,2024,,,2007,2024,2007,2007
PORTAGE SOUTHPORT A,MANITOBA,5012320,3518,,YPG,49.9,-98.27,495400000,-981600000,269.7,1941,2024,1953,2024,1941,1992,1941,1992
PORTAGE LA PRAIRIE CDA,MANITOBA,5012321,3519,,,49.96,-98.28,495730070,-981634050,259.1,1970,2024,,,1970,2024,1970,2007
PORTAGE LA PRAIRIE 2,MANITOBA,5012322,3520,,,49.98,-98.32,495900000,-981900000,261.2,1962,1996,,,1962,1996,1962,1996
PORTAGE SOUTHPORT,MANITOBA,5012324,10884,71851,WPG,49.9,-98.28,495411300,-981702900,272.7,1992,2024,1994,2024,1992,2024,1996,2007
RAPID CITY FORREST,MANITOBA,5012333,3522,,,50.02,-100,500100000,-1000000000,487.7,1885,1939,,,1885,1939,1885,1939
RAPID CITY,MANITOBA,501233B,3521,,,50.12,-99.93,500700000,-995600000,545.6,1977,1997,,,1977,1997,1977,1997
REGENT,MANITOBA,5012340,3523,,,49.32,-100.37,491900000,-1002200000,500.5,1955,1966,,,1955,1966,1955,1966
RESTON,MANITOBA,5012400,3524,,,49.55,-101.1,493300000,-1010600000,463.6,1952,1994,,,1952,1994,1952,1994
RIDING MTN AUDY,MANITOBA,5012423,3525,,,50.72,-100.23,504300000,-1001400000,571.5,1977,1990,,,1977,1990,1977,1990
RIVERS,MANITOBA,5012439,3526,,,50.03,-100.23,500200000,-1001400000,475.5,1984,1991,,,1984,1991,1984,1991
RIVERS A,MANITOBA,5012440,3527,,,50.02,-100.32,500100000,-1001900000,473.4,1938,1983,1953,1983,1938,1970,1938,1970
ROBLIN,MANITOBA,5012469,27119,71553,WXB,51.18,-101.36,511100018,-1012146068,539.5,1996,2024,1996,2024,1996,2024,1996,2007
ROBLIN,MANITOBA,5012471,3528,,,51.23,-101.38,511400000,-1012300000,556,1969,1979,,,1969,1979,1969,1979
ROBLIN,MANITOBA,5012472,3529,,,51.23,-101.38,511400000,-1012300000,556,1980,1997,,,1980,1997,1980,1997
